sku,stock.qty,pick_face_count  
146093, 20,1
146165, 1070,2
146169, 36,
146170, 73,1
146179, 22,1
146189, 108,1
146266, 171,2
146268, 0,2
146300, 42,1
146309, 20,
146312, 309,
146314, 252,1
146331, 72,1
146342, 27,
146343, 3,
146345, 17,1
146391, 13,1
146400, 547,1
146401, 947,2
146417, 0,1
146427, 280,1
146443, 53,2
146476, 423,1
146498, 6,
146500, 5,
146501, 6,
146506, 4,
146508, 1,
146510, 6,
146511, 6,
146515, 6,
146518, 3,
146566, 12,
146602, 18,
146673, 33,1
146676, 7,1
146692, 5,
146693, 5,
146694, 5,
146695, 40,1
146696, 10,1
146697, 50,1
146698, 20,1
146700, 60,1
146701, 10,1
146705, 6,
146706, 5,
146707, 5,
146708, 5,
146709, 6,
146710, 4,
146711, 5,
146712, 5,
146713, 5,
146714, 5,
146715, 5,
146716, 6,
146719, 5,
146720, 5,
146721, 5,
146722, 5,
146723, 5,
146724, 5,
146725, 5,
146726, 6,
146729, 10,
146731, 5,
146732, 6,
146733, 5,
146734, 5,
146736, 588,2
146737, 245,2
146738, 206,2
146740, 16,2
146768, 5,
146813, 0,2
146816, 98,1
146827, 10,1
146835, 2480,2
146862, 344,1
146865, 4508,3
146866, 2787,2
146868, 2744,2
146877, 12,1
146878, 8,1
146886, 4,1
146888, 4,1
146889, 9,1
146890, 12,1
146893, 19,1
146895, 12,1
146897, 2,1
146898, 8,1
146899, 0,1
146902, 113,1
146903, 25,1
146907, 41,1
146908, 84,1
146909, 77,1
146910, 19,1
146911, 0,1
146912, 30,1
146913, 5,1
146914, 39,1
146917, 30,1
146919, 1,1
146930, 46,1
146931, 15,1
146941, 1,1
146943, 5,1
146950, 24,1
146954, 14,1
146955, 5,1
146962, 5,1
146965, 9,1
146970, 17,1
146985, 91,1
146993, 9,1
146998, 81,1
147000, 9,1
147006, 30,1
147030, 2307,1
147095, 5,1
147097, 26,1
147098, 70,1
147099, 6,1
147101, 20,1
147107, 161,1
147111, 12,1
147132, 5,
147134, 5,
147136, 5,
147161, 128,2
147162, 360,2
147208, 21,1
147276, 93,1
147314, 200,
147373, 1692,1
147374, 370,1
147375, 367,1
147438, 100,1
147498, 84,
147543, 36,1
147544, 189,2
147545, 6,2
147549, 29,2
147628, 6,2
147629, 197,2
147632, 12,2
147686, 539,1
147694, 87,1
147697, 43,1
147787, 443,
147804, 12,1
147813, 32,1
147831, 0,2
147899, 12,1
147900, 16,1
147904, 0,1
147905, 52,1
147926, 0,1
147943, 20,2
147955, 63,
147987, 63,2
147989, 21,1
147990, 14,1
148036, 441,1
148048, 289,
148051, 30,
148082, 4,2
148086, 70,1
148110, 14,1
148114, 13,1
148133, 0,1
148142, 72,1
148143, 0,1
148155, 32,1
148160, 108,1
148161, 26,1
148163, 11,1
148165, 97,
148167, 48,1
148168, 55,1
148169, 56,1
148172, 59,1
148185, 620,1
148194, 1008,1
148201, 251,1
148204, 6249,2
148210, 64,1
148213, 2,1
148226, 16,1
148230, 887,1
148245, 97,1
148246, 159,1
148248, 42,2
148267, 804,2
148406, 0,1
148442, 36,1
148445, 106,1
148446, 169,1
148447, 30,1
148454, 15,1
148462, 2532,2
148467, 1124,2
148468, 11,1
148470, 962,2
148471, 34,1
148482, 1503,2
148483, 357,1
148484, 310,2
148485, 0,1
148497, 1190,2
148498, 502,2
148499, 2158,2
148501, 301,1
148503, 620,2
148504, 2000,1
148506, 4408,2
148507, 2442,2
148509, 6387,2
148510, 79,2
148511, 8740,2
148512, 180,2
148513, 4,2
148514, 4432,2
148515, 5740,2
148516, 3896,2
148517, 22,2
148518, 2136,1
148520, 811,2
148522, 59,2
148524, 220,2
148526, 398,2
148535, 3143,2
148538, 518,1
148539, 1680,1
148545, 770,1
148546, 48,1
148547, 59,1
148587, 180,1
148590, 9,1
148593, 5,1
148600, 7,1
148602, 27,1
148641, 12,1
148696, 58,1
148800, 447,2
148858, 663,2
148860, 132,1
148863, 46,2
148884, 35,
148987, 9,1
148992, 89,2
148994, 102,2
149009, 1,1
149057, 1128,2
149058, 282,2
149059, 324,2
149060, 516,2
149169, 33,1
149175, 32,1
149192, 6,
149194, 12,1
149209, 8,1
149210, 176,1
149211, 15,1
149309, 1,
149331, 8,1
149349, 0,1
149363, 9,1
149368, 22,1
149373, 5,1
149438, 29,
149439, 10,
149447, 12,1
149448, 58,1
149451, 13,1
149452, 8,1
149453, 8,1
149454, 5,1
149455, 36,1
149457, 96,1
149458, 22,1
149459, 54,1
149460, 6,1
149463, 8,1
149464, 96,1
149465, 60,1
149467, 20,1
149468, 88,1
149469, 14,1
149470, 11,1
149474, 48,1
149475, 26,1
149476, 7,1
149477, 173,1
149478, 66,1
149480, 20,1
149507, 1368,1
149508, 181,1
149509, 36,1
149510, 22,1
149515, 72,2
149516, 30,1
149517, 15,1
149519, 180,1
149520, 387,1
149533, 23,1
149537, 283,1
149540, 174,1
149543, 13,1
149544, 226,2
149565, 396,1
149566, 417,2
149567, 600,2
149572, 2871,2
149573, 1025,2
149575, 334,2
149627, 74,1
149628, 14,1
149632, 15,1
149633, 144,1
149638, 36,1
149639, 63,1
149667, 6,
149679, 6,
149695, 34,1
149700, 1,
149718, 22,1
149882, 63,1
149914, 71,1
149915, 103,1
149916, 14,1
149917, 204,1
149918, 5,1
149919, 195,1
149920, 11,1
149921, 260,1
149922, 117,1
149923, 70,1
149924, 120,1
149925, 4,1
149926, 64,1
149941, 292,2
149945, 56,1
149946, 5,1
149954, 25,1
149955, 26,1
149959, 132,1
149961, 6,1
149962, 42,1
149963, 33,1
150198, 68,1
150199, 852,2
150200, 155,1
150201, 690,1
150203, 263,1
150211, 718,1
150214, 629,1
150263, 22,1
150291, 514,1
150295, 480,1
150296, 8,1
150297, 96,1
150298, 34,1
150299, 584,1
150300, 21,1
150360, 683,1
150382, 53,1
150385, 7,1
150386, 27,1
150388, 16,1
150389, 21,1
150390, 72,1
150393, 18,1
150394, 37,1
150395, 115,1
150397, 7,1
150422, 263,1
150423, 117,1
150424, 133,1
150425, 7,1
150426, 18,1
150429, 0,1
150430, 3,
150431, 47,1
150432, 2,1
150433, 119,1
150434, 0,1
150435, 31,1
150436, 0,1
150437, 0,1
150438, 0,1
150441, 236,1
150442, 28,1
150443, 1,1
150444, 9,1
150445, 133,1
150446, 19,1
150448, 146,1
150449, 0,1
150451, 9,1
150452, 121,1
150454, 16,1
150457, 17,1
150461, 36,1
150462, 0,1
150463, 1,
150528, 2962,1
150529, 41,1
150535, 7,1
150536, 17,1
150538, 16,1
150543, 27,1
150544, 20,1
150588, 46,1
150590, 3,1
150591, 6,1
150592, 7,1
150642, 2,1
150644, 51,1
150645, 1,1
150647, 21,1
150648, 1,
150655, 76,1
150656, 282,1
150657, 68,1
150658, 8,1
150659, 64,1
150661, 17,1
