2014-07-19, 14:26:50, AAA1786, 127.0.0.1, Invalid Email Entered :: amj<br />, takeaway.php, 50, 
2014-07-19, 14:27:05, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 50, 
2014-07-19, 14:28:03, AAA1786, 127.0.0.1, Invalid Access to site, please try again, takeaway.php, 50, 
2014-07-19, 14:30:55, AAA1786, 127.0.0.1, Invalid Access to site, please try again, takeaway.php, 50, 
2014-07-19, 14:46:10, AAA1786, 127.0.0.1, Invalid access to site, please try again, takeaway.php, 50, 
2014-07-19, 14:46:16, AAA1786, 127.0.0.1, Invalid access to site, please try again, takeaway.php, 50, 
2014-07-19, 15:42:09, AAA1786, 127.0.0.1, FIRST NAME Cannot be empty <br />LAST NAME Cannot be empty <br />PHONE Cannot be empty <br />, takeaway.php, 51, 
2014-07-19, 15:56:26, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 16:19:07, AAA1786, 127.0.0.1, Invalid access to site, please try again, takeaway.php, 51, 
2014-07-19, 16:58:44, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 16:59:25, AAA1786, 127.0.0.1, takeaway/process_order, Invalid access to site. please try again, takeaway.php, 51, 
2014-07-19, 16:59:46, AAA1786, 127.0.0.1, takeaway/process_order, Invalid access to site. please try again, takeaway.php, 51, 
2014-07-19, 17:00:10, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:09, takeaway.php, 51, 
2014-07-19, 17:00:28, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 17:00:57, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 17:01:15, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:15, takeaway.php, 51, 
2014-07-19, 17:02:43, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:42, takeaway.php, 51, 
2014-07-19, 17:04:40, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:40, takeaway.php, 51, 
2014-07-19, 17:04:45, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:44, takeaway.php, 51, 
2014-07-19, 17:06:14, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-19, 17:06:27, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 17:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 17:07:26, takeaway.php, 51, 
