
2014-07-26, 19:04:01, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:09:55, AAA1786, 127.0.0.1, data_process, takeaway.php, 53, 
2014-07-26, 19:10:38, AAA1786, 127.0.0.1, sess_destroy, takeaway.php, 53, 
2014-07-26, 19:10:40, AAA1786, 127.0.0.1, sess_destroy, takeaway.php, 53, 
2014-07-26, 19:10:43, AAA1786, 127.0.0.1, all_userdata, takeaway.php, 53, 
2014-07-26, 19:10:58, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:11:01, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:11:02, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:11:03, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:11:07, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:11:08, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:12:09, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:12:12, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:12:12, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:12:50, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:12:52, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:12:52, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:12:55, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:13:00, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:13:20, AAA1786, 127.0.0.1, email_js, takeaway.php, 53, 
2014-07-26, 19:13:21, AAA1786, 127.0.0.1, fname_js, takeaway.php, 53, 
2014-07-26, 19:13:23, AAA1786, 127.0.0.1, lname_js, takeaway.php, 53, 
2014-07-26, 19:13:27, AAA1786, 127.0.0.1, phone_js, takeaway.php, 53, 
2014-07-26, 19:13:29, AAA1786, 127.0.0.1, house_no_js, takeaway.php, 53, 
2014-07-26, 19:13:30, AAA1786, 127.0.0.1, house_no_js, takeaway.php, 53, 
2014-07-26, 19:13:31, AAA1786, 127.0.0.1, postcode_js, takeaway.php, 53, 
2014-07-26, 19:13:32, AAA1786, 127.0.0.1, address1_js, takeaway.php, 53, 
2014-07-26, 19:13:35, AAA1786, 127.0.0.1, town_js, takeaway.php, 53, 
2014-07-26, 19:13:40, AAA1786, 127.0.0.1, city_js, takeaway.php, 53, 
2014-07-26, 19:13:45, AAA1786, 127.0.0.1, county_js, takeaway.php, 53, 
2014-07-26, 19:13:48, AAA1786, 127.0.0.1, address_instruction_js, takeaway.php, 53, 
2014-07-26, 19:13:50, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:16:57, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:16:59, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:19:06, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:19:42, AAA1786, 127.0.0.1, sess_destroy, takeaway.php, 53, 
2014-07-26, 19:19:50, AAA1786, 127.0.0.1, all_userdata, takeaway.php, 53, 
2014-07-26, 19:19:58, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:19:58, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:20:01, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:20:01, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:20:03, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:20:06, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:20:09, AAA1786, 127.0.0.1, time_js, takeaway.php, 53, 
2014-07-26, 19:20:10, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:20:16, AAA1786, 127.0.0.1, email_js, takeaway.php, 53, 
2014-07-26, 19:20:17, AAA1786, 127.0.0.1, fname_js, takeaway.php, 53, 
2014-07-26, 19:20:18, AAA1786, 127.0.0.1, lname_js, takeaway.php, 53, 
2014-07-26, 19:20:19, AAA1786, 127.0.0.1, phone_js, takeaway.php, 53, 
2014-07-26, 19:20:26, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:21:42, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:21:56, AAA1786, 127.0.0.1, all_userdata, takeaway.php, 53, 
2014-07-26, 19:23:55, AAA1786, 127.0.0.1, house_no_js, takeaway.php, 53, 
2014-07-26, 19:23:55, AAA1786, 127.0.0.1, house_no_js, takeaway.php, 53, 
2014-07-26, 19:23:56, AAA1786, 127.0.0.1, postcode_js, takeaway.php, 53, 
2014-07-26, 19:23:57, AAA1786, 127.0.0.1, address1_js, takeaway.php, 53, 
2014-07-26, 19:24:03, AAA1786, 127.0.0.1, town_js, takeaway.php, 53, 
2014-07-26, 19:24:04, AAA1786, 127.0.0.1, city_js, takeaway.php, 53, 
2014-07-26, 19:24:06, AAA1786, 127.0.0.1, county_js, takeaway.php, 53, 
2014-07-26, 19:24:08, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:25:17, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:25:18, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:33:01, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:33:04, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:33:04, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:33:06, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:33:08, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:33:11, AAA1786, 127.0.0.1, time_js, takeaway.php, 53, 
2014-07-26, 19:33:11, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:33:16, AAA1786, 127.0.0.1, email_js, takeaway.php, 53, 
2014-07-26, 19:33:25, AAA1786, 127.0.0.1, fname_js, takeaway.php, 53, 
2014-07-26, 19:35:00, AAA1786, 127.0.0.1, sess_destroy, takeaway.php, 53, 
2014-07-26, 19:35:03, AAA1786, 127.0.0.1, all_userdata, takeaway.php, 53, 
2014-07-26, 19:35:07, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:35:09, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:35:10, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:35:11, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:35:15, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:35:15, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:35:21, AAA1786, 127.0.0.1, email_js, takeaway.php, 53, 
2014-07-26, 19:35:25, AAA1786, 127.0.0.1, email_js, takeaway.php, 53, 
2014-07-26, 19:35:26, AAA1786, 127.0.0.1, fname_js, takeaway.php, 53, 
2014-07-26, 19:35:31, AAA1786, 127.0.0.1, lname_js, takeaway.php, 53, 
2014-07-26, 19:35:32, AAA1786, 127.0.0.1, phone_js, takeaway.php, 53, 
2014-07-26, 19:35:38, AAA1786, 127.0.0.1, phone_js, takeaway.php, 53, 
2014-07-26, 19:35:43, AAA1786, 127.0.0.1, phone_js, takeaway.php, 53, 
2014-07-26, 19:35:48, AAA1786, 127.0.0.1, house_no_js, takeaway.php, 53, 
2014-07-26, 19:35:48, AAA1786, 127.0.0.1, house_no_js, takeaway.php, 53, 
2014-07-26, 19:35:56, AAA1786, 127.0.0.1, postcode_js, takeaway.php, 53, 
2014-07-26, 19:36:05, AAA1786, 127.0.0.1, address1_js, takeaway.php, 53, 
2014-07-26, 19:36:12, AAA1786, 127.0.0.1, town_js, takeaway.php, 53, 
2014-07-26, 19:36:16, AAA1786, 127.0.0.1, city_js, takeaway.php, 53, 
2014-07-26, 19:36:19, AAA1786, 127.0.0.1, county_js, takeaway.php, 53, 
2014-07-26, 19:36:24, AAA1786, 127.0.0.1, address_instruction_js, takeaway.php, 53, 
2014-07-26, 19:36:29, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 19:37:11, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 19:37:13, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 19:38:20, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
